MPN,Datum,Maand,Jaar,MPN-Jaar-Maand,Soort,Mediaan
MPN10019,04/08/08,8,2008,MPN10019 2008 8,Alisma plantago-aquatica,20
MPN9997,26/06/2014,6,2014,MPN9997 2014 6,Alisma plantago-aquatica,20
MPN10157,16/07/2007,7,2007,MPN10157 2007 7,Alisma plantago-aquatica,20
MPN9997,15/06/2015,6,2015,MPN9997 2015 6,Alisma plantago-aquatica,24
MPN9997,12/05/11,5,2011,MPN9997 2011 5,Alisma plantago-aquatica,25
MPN9997,21/05/2012,5,2012,MPN9997 2012 5,Alisma plantago-aquatica,30
MPN9997,08/06/06,6,2006,MPN9997 2006 6,Alisma plantago-aquatica,35
MPN9997,05/06/08,6,2008,MPN9997 2008 6,Alisma plantago-aquatica,35.5
MPN10020,06/07/09,7,2009,MPN10020 2009 7,Alisma plantago-aquatica,38
MPN10020,04/08/08,8,2008,MPN10020 2008 8,Alisma plantago-aquatica,40
MPN9966,20/10/2011,10,2011,MPN9966 2011 10,Alisma plantago-aquatica,40
MPN9966,30/06/2005,6,2005,MPN9966 2005 6,Alisma plantago-aquatica,44
MPN3965,29/08/2011,8,2011,MPN3965 2011 8,Alisma plantago-aquatica,55
MPN9902,15/06/2006,6,2006,MPN9902 2006 6,Alisma plantago-aquatica,75
MPN5842,19/10/2004,10,2004,MPN5842 2004 10,Alisma plantago-aquatica,78
MPN3974,17/09/2002,9,2002,MPN3974 2002 9,Alisma plantago-aquatica,82.395
MPN10164,11/06/10,6,2010,MPN10164 2010 6,Alisma plantago-aquatica,87
MPN10164,22/06/2009,6,2009,MPN10164 2009 6,Alisma plantago-aquatica,98
MPN1955,04/05/01,5,2001,MPN1955 2001 5,Alisma plantago-aquatica,104.83
MPN10164,16/06/2008,6,2008,MPN10164 2008 6,Alisma plantago-aquatica,110
MPN10164,25/06/2007,6,2007,MPN10164 2007 6,Alisma plantago-aquatica,130
MPN10217,24/06/2002,6,2002,MPN10217 2002 6,Alisma plantago-aquatica,130
MPN10041,10/09/12,9,2012,MPN10041 2012 9,Alisma plantago-aquatica,130
MPN5521,29/09/2003,9,2003,MPN5521 2003 9,Alisma plantago-aquatica,130
MPN10164,08/06/15,6,2015,MPN10164 2015 6,Alisma plantago-aquatica,135
MPN1578,14/10/2010,10,2010,MPN1578 2010 10,Alisma plantago-aquatica,150
MPN5518,02/10/08,10,2008,MPN5518 2008 10,Alisma plantago-aquatica,160
MPN10488,10/07/03,7,2003,MPN10488 2003 7,Alisma plantago-aquatica,180
MPN1577,31/08/2004,8,2004,MPN1577 2004 8,Alisma plantago-aquatica,200
MPN10488,26/06/2012,6,2012,MPN10488 2012 6,Alisma plantago-aquatica,220
MPN10354,18/06/2008,6,2008,MPN10354 2008 6,Alisma plantago-aquatica,240
