ID,location,Species,pH,PPO4,TN,HCO3,width,depth,distance,coarsness,velocity,shade
100067_2015,Mountain siliceous,Ranunculus peltatus,7.7,0.029,1,NA,2-5,0-30,10.348,0.7,0.1-0.3,Half shaded
100067_2015,Mountain siliceous,Chiloscyphus polyanthos,7.7,0.029,1,NA,2-5,0-30,10.348,0.7,0.1-0.3,Half shaded
100067_2015,Mountain siliceous,Fontinalis squamosa,7.7,0.029,1,NA,2-5,0-30,10.348,0.7,0.1-0.3,Half shaded
100493_2016,Mountain siliceous,Chiloscyphus polyanthos,7,0.071,1.2,NA,2-5,0-30,6.396,0.8375,>1.0,Half shaded
100493_2016,Mountain siliceous,Fontinalis squamosa,7,0.071,1.2,NA,2-5,0-30,6.396,0.8375,>1.0,Half shaded
100500_2012,Mountain siliceous,Caltha palustris,8.4,0.01,0.89,NA,5-10,30-100,13.678,0.66875,0.3-1.0,Slightly shaded
100500_2012,Mountain siliceous,Glyceria fluitans,8.4,0.01,0.89,NA,5-10,30-100,13.678,0.66875,0.3-1.0,Slightly shaded
100500_2012,Mountain siliceous,Myosotis scorpioides,8.4,0.01,0.89,NA,5-10,30-100,13.678,0.66875,0.3-1.0,Slightly shaded
100500_2012,Mountain siliceous,Chiloscyphus polyanthos,8.4,0.01,0.89,NA,5-10,30-100,13.678,0.66875,0.3-1.0,Slightly shaded
100500_2012,Mountain siliceous,Fontinalis squamosa,8.4,0.01,0.89,NA,5-10,30-100,13.678,0.66875,0.3-1.0,Slightly shaded
101000_2012,Mountain siliceous,Chiloscyphus polyanthos,7.8,0.07,3.98,NA,2-5,0-30,3.78,0.6,0.3-1.0,Slightly shaded
101000_2012,Mountain siliceous,Platyhypnidium riparioides,7.8,0.07,3.98,NA,2-5,0-30,3.78,0.6,0.3-1.0,Slightly shaded
101000_2012,Mountain siliceous,Amblystegium fluviatile,7.8,0.07,3.98,NA,2-5,0-30,3.78,0.6,0.3-1.0,Slightly shaded
101000_2012,Mountain siliceous,Fontinalis antipyretica,7.8,0.07,3.98,NA,2-5,0-30,3.78,0.6,0.3-1.0,Slightly shaded
101205_2015,Mountain siliceous,Amblystegium fluviatile,7.7,0.024,1.1,NA,5-10,0-30,18.963,NA,0.3-1.0,Half shaded
101205_2015,Mountain siliceous,Chiloscyphus polyanthos,7.7,0.024,1.1,NA,5-10,0-30,18.963,NA,0.3-1.0,Half shaded
101503_2011,Mountain siliceous,Chiloscyphus polyanthos,7.8,0.04,1.62,NA,5-10,30-100,21.684,0.775,0.3-1.0,Slightly shaded
101503_2011,Mountain siliceous,Fontinalis squamosa,7.8,0.04,1.62,NA,5-10,30-100,21.684,0.775,0.3-1.0,Slightly shaded
101503_2011,Mountain siliceous,Amblystegium fluviatile,7.8,0.04,1.62,NA,5-10,30-100,21.684,0.775,0.3-1.0,Slightly shaded
101904_2015,Mountain siliceous,Iris pseudacorus,7.9,0.021,1.3,NA,10-20,0-30,35.476,NA,0.3-1.0,Half shaded
101904_2015,Mountain siliceous,Ranunculus peltatus,7.9,0.021,1.3,NA,10-20,0-30,35.476,NA,0.3-1.0,Half shaded
101904_2015,Mountain siliceous,Fontinalis squamosa,7.9,0.021,1.3,NA,10-20,0-30,35.476,NA,0.3-1.0,Half shaded
101904_2015,Mountain siliceous,Chiloscyphus polyanthos,7.9,0.021,1.3,NA,10-20,0-30,35.476,NA,0.3-1.0,Half shaded
