ID,Species,Abundance,Date,Cl,EC,Fe,GH,HCO3,NNH4,NNO2,NNO3,pH,PPO4,SO4,Temp,TN,TOC,Location,mittlere_breite_opt,mittlere_tiefevop_opt,beschattung_opt,fliessgeschw_opt,ks_steinpflaster_tog,ks_steinschuett_tog,ks_rasenkammerst_tog,ks_steinstickung_tog,ks_beton_tog,argyllal_dg,psammal_dg,akal_dg,mikrolithal_dg,mesolithal_dg,makrolithal_dg,megalithal_dg,substrat_organisch_torf,elevation,distance_to_source,gefaelle
100067_2015,Fontinalis squamosa,1,07/07/15,8.54,100,1.7,NA,NA,0.05,0.02,0.506,7.7,0.029,5,18,1,6.6,Mountain,3,1,3,3,FALSE,FALSE,FALSE,FALSE,TRUE,NA,5,5,15,30,20,15,10,502.17,10.348,NA
100067_2015,Ranunculus peltatus,1,07/07/15,8.54,100,1.7,NA,NA,0.05,0.02,0.506,7.7,0.029,5,18,1,6.6,Mountain,3,1,3,3,FALSE,FALSE,FALSE,FALSE,TRUE,NA,5,5,15,30,20,15,10,502.17,10.348,NA
100067_2015,Chiloscyphus polyanthos,2,07/07/15,8.54,100,1.7,NA,NA,0.05,0.02,0.506,7.7,0.029,5,18,1,6.6,Mountain,3,1,3,3,FALSE,FALSE,FALSE,FALSE,TRUE,NA,5,5,15,30,20,15,10,502.17,10.348,NA
100493_2016,Chiloscyphus polyanthos,1,06/23/16,5.1,100,NA,NA,NA,0.05,0.02,0.42,7,0.071,20,15.4,1.2,14.8,Mountain,3,1,3,5,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,10,10,20,20,40,NA,477.6,6.396,22.32999992
100493_2016,Fontinalis squamosa,3,06/23/16,5.1,100,NA,NA,NA,0.05,0.02,0.42,7,0.071,20,15.4,1.2,14.8,Mountain,3,1,3,5,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,10,10,20,20,40,NA,477.6,6.396,22.32999992
100500_2012,Chiloscyphus polyanthos,1,06/13/12,6.8,60,0.53,NA,NA,0.05,0.01,0.75,8.4,0.01,5.1,12.8,0.89,3.66,Mountain,4,2,2,4,FALSE,FALSE,FALSE,FALSE,FALSE,5,20,NA,10,20,30,10,5,465.65,13.678,NA
100500_2012,Fontinalis squamosa,3,06/13/12,6.8,60,0.53,NA,NA,0.05,0.01,0.75,8.4,0.01,5.1,12.8,0.89,3.66,Mountain,4,2,2,4,FALSE,FALSE,FALSE,FALSE,FALSE,5,20,NA,10,20,30,10,5,465.65,13.678,NA
100500_2012,Caltha palustris,2,06/13/12,6.8,60,0.53,NA,NA,0.05,0.01,0.75,8.4,0.01,5.1,12.8,0.89,3.66,Mountain,4,2,2,4,FALSE,FALSE,FALSE,FALSE,FALSE,5,20,NA,10,20,30,10,5,465.65,13.678,NA
100500_2012,Glyceria fluitans,2,06/13/12,6.8,60,0.53,NA,NA,0.05,0.01,0.75,8.4,0.01,5.1,12.8,0.89,3.66,Mountain,4,2,2,4,FALSE,FALSE,FALSE,FALSE,FALSE,5,20,NA,10,20,30,10,5,465.65,13.678,NA
100500_2012,Myosotis scorpioides,1,06/13/12,6.8,60,0.53,NA,NA,0.05,0.01,0.75,8.4,0.01,5.1,12.8,0.89,3.66,Mountain,4,2,2,4,FALSE,FALSE,FALSE,FALSE,FALSE,5,20,NA,10,20,30,10,5,465.65,13.678,NA
101000_2012,Platyhypnidium riparioides,3,07/25/12,24,230,0.54,NA,NA,0.05,0.01,3.25,7.8,0.07,13.1,13,3.98,4.44,Mountain,3,1,2,4,FALSE,FALSE,FALSE,TRUE,FALSE,NA,5,5,10,45,15,NA,20,462.66,3.78,26.92000008
101000_2012,Amblystegium fluviatile,4,07/25/12,24,230,0.54,NA,NA,0.05,0.01,3.25,7.8,0.07,13.1,13,3.98,4.44,Mountain,3,1,2,4,FALSE,FALSE,FALSE,TRUE,FALSE,NA,5,5,10,45,15,NA,20,462.66,3.78,26.92000008
101000_2012,Chiloscyphus polyanthos,3,07/25/12,24,230,0.54,NA,NA,0.05,0.01,3.25,7.8,0.07,13.1,13,3.98,4.44,Mountain,3,1,2,4,FALSE,FALSE,FALSE,TRUE,FALSE,NA,5,5,10,45,15,NA,20,462.66,3.78,26.92000008
101000_2012,Fontinalis antipyretica,2,07/25/12,24,230,0.54,NA,NA,0.05,0.01,3.25,7.8,0.07,13.1,13,3.98,4.44,Mountain,3,1,2,4,FALSE,FALSE,FALSE,TRUE,FALSE,NA,5,5,10,45,15,NA,20,462.66,3.78,26.92000008
101205_2015,Chiloscyphus polyanthos,2,07/09/15,16.3,139,0.76,NA,NA,0.05,0.02,0.794,7.7,0.024,7.76,14.6,1.1,4.4,Mountain,4,1,3,4,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,396.0350037,18.963,NA
101205_2015,Amblystegium fluviatile,1,07/09/15,16.3,139,0.76,NA,NA,0.05,0.02,0.794,7.7,0.024,7.76,14.6,1.1,4.4,Mountain,4,1,3,4,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,396.0350037,18.963,NA
101503_2011,Amblystegium fluviatile,1,06/24/11,16.4,130,1.3,NA,NA,0.17,0.01,1.14,7.8,0.04,8.8,13.6,1.62,12.3,Mountain,4,2,2,4,FALSE,FALSE,FALSE,FALSE,FALSE,5,5,5,15,15,30,25,NA,367.8,21.684,NA
101503_2011,Chiloscyphus polyanthos,1,06/24/11,16.4,130,1.3,NA,NA,0.17,0.01,1.14,7.8,0.04,8.8,13.6,1.62,12.3,Mountain,4,2,2,4,FALSE,FALSE,FALSE,FALSE,FALSE,5,5,5,15,15,30,25,NA,367.8,21.684,NA
101503_2011,Fontinalis squamosa,2,06/24/11,16.4,130,1.3,NA,NA,0.17,0.01,1.14,7.8,0.04,8.8,13.6,1.62,12.3,Mountain,4,2,2,4,FALSE,FALSE,FALSE,FALSE,FALSE,5,5,5,15,15,30,25,NA,367.8,21.684,NA
101904_2015,Chiloscyphus polyanthos,2,07/09/15,19.4,180,0.48,NA,NA,0.05,0.02,0.992,7.9,0.021,10.3,16,1.3,4.9,Mountain,5,1,3,4,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,283.64,35.476,NA
101904_2015,Fontinalis squamosa,1,07/09/15,19.4,180,0.48,NA,NA,0.05,0.02,0.992,7.9,0.021,10.3,16,1.3,4.9,Mountain,5,1,3,4,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,283.64,35.476,NA
101904_2015,Iris pseudacorus,1,07/09/15,19.4,180,0.48,NA,NA,0.05,0.02,0.992,7.9,0.021,10.3,16,1.3,4.9,Mountain,5,1,3,4,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,283.64,35.476,NA
101904_2015,Ranunculus peltatus,1,07/09/15,19.4,180,0.48,NA,NA,0.05,0.02,0.992,7.9,0.021,10.3,16,1.3,4.9,Mountain,5,1,3,4,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,283.64,35.476,NA
101965_2012,Fontinalis antipyretica,2,07/05/12,22.6,180,0.2,NA,NA,0.05,0.01,1.23,7.7,0.01,12.4,15.1,1.45,1.79,Mountain,2,1,4,4,FALSE,FALSE,FALSE,FALSE,FALSE,5,NA,5,15,20,20,25,10,306.82,3.921,36.43000031
101965_2012,Amblystegium fluviatile,2,07/05/12,22.6,180,0.2,NA,NA,0.05,0.01,1.23,7.7,0.01,12.4,15.1,1.45,1.79,Mountain,2,1,4,4,FALSE,FALSE,FALSE,FALSE,FALSE,5,NA,5,15,20,20,25,10,306.82,3.921,36.43000031
101965_2012,Platyhypnidium riparioides,3,07/05/12,22.6,180,0.2,NA,NA,0.05,0.01,1.23,7.7,0.01,12.4,15.1,1.45,1.79,Mountain,2,1,4,4,FALSE,FALSE,FALSE,FALSE,FALSE,5,NA,5,15,20,20,25,10,306.82,3.921,36.43000031
101965_2012,Chiloscyphus polyanthos,2,07/05/12,22.6,180,0.2,NA,NA,0.05,0.01,1.23,7.7,0.01,12.4,15.1,1.45,1.79,Mountain,2,1,4,4,FALSE,FALSE,FALSE,FALSE,FALSE,5,NA,5,15,20,20,25,10,306.82,3.921,36.43000031
102805_2015,Fontinalis antipyretica,1,06/17/15,15.8,159,0.079,NA,NA,0.05,0.02,1.67,7.6,0.01,13,10.6,1.8,2.9,Mountain,5,2,2,4,FALSE,TRUE,FALSE,TRUE,FALSE,NA,NA,5,20,15,10,NA,50,188.4600067,62.853,NA
102805_2015,Fontinalis squamosa,1,06/17/15,15.8,159,0.079,NA,NA,0.05,0.02,1.67,7.6,0.01,13,10.6,1.8,2.9,Mountain,5,2,2,4,FALSE,TRUE,FALSE,TRUE,FALSE,NA,NA,5,20,15,10,NA,50,188.4600067,62.853,NA
102805_2015,Iris pseudacorus,1,06/17/15,15.8,159,0.079,NA,NA,0.05,0.02,1.67,7.6,0.01,13,10.6,1.8,2.9,Mountain,5,2,2,4,FALSE,TRUE,FALSE,TRUE,FALSE,NA,NA,5,20,15,10,NA,50,188.4600067,62.853,NA
102805_2015,Chiloscyphus polyanthos,4,06/17/15,15.8,159,0.079,NA,NA,0.05,0.02,1.67,7.6,0.01,13,10.6,1.8,2.9,Mountain,5,2,2,4,FALSE,TRUE,FALSE,TRUE,FALSE,NA,NA,5,20,15,10,NA,50,188.4600067,62.853,NA
