Code,Species,Depth,Width,Velocity,Alkalinity,NO3,TP,Substrate
DK1011,Lemna minor,0.26,1.93,0.09,NA,3.77,89.958333,gravel
DK1011,Veronica anagallis-aquatica,0.26,1.93,0.09,NA,3.77,89.958333,gravel
DK1011,Berula erecta,0.26,1.93,0.09,NA,3.77,89.958333,gravel
FR5020,Myriophyllum spicatum,1.4,82,0.73,NA,4.9,70,"silt, sand and gravel"
FR5020,Stuckenia pectinata,1.4,82,0.73,NA,4.9,70,"silt, sand and gravel"
FR5003,Ceratophyllum demersum,1.1,92,0.73,NA,7,60,"silt, sand and gravel"
FR5020,Najas major,1.4,82,0.73,NA,4.9,70,"silt, sand and gravel"
FR5020,Potamogeton nodosus,1.4,82,0.73,NA,4.9,70,"silt, sand and gravel"
FR5065,Lemna minor,1.6,127,0.49,NA,5.6,120,"silt, sand and gravel"
FR5064,Myriophyllum spicatum,1.6,127,0.49,NA,5.6,120,"silt, sand and gravel"
FR5003,Potamogeton nodosus,1.1,92,0.73,NA,7,60,"silt, sand and gravel"
FR5065,Spirodela polyrhiza,1.6,127,0.49,NA,5.6,120,"silt, sand and gravel"
FR5062,Myriophyllum spicatum,1.6,127,0.49,NA,5.6,120,"silt, sand and gravel"
FR5019,Ranunculus fluitans,1.4,82,0.73,NA,4.9,70,"silt, sand and gravel"
FR5019,Myriophyllum spicatum,1.4,82,0.73,NA,4.9,70,"silt, sand and gravel"
FR5020,Potamogeton crispus,1.4,82,0.73,NA,4.9,70,"silt, sand and gravel"
FR5061,Spirodela polyrhiza,1.6,127,0.49,NA,5.6,120,"silt, sand and gravel"
FR5064,Potamogeton nodosus,1.6,127,0.49,NA,5.6,120,"silt, sand and gravel"
FR5064,Fontinalis antipyretica,1.6,127,0.49,NA,5.6,120,"silt, sand and gravel"
FR5003,Octodiceras fontanum,1.1,92,0.73,NA,7,60,"silt, sand and gravel"
FR5004,Potamogeton nodosus,1.1,92,0.73,NA,7,60,"silt, sand and gravel"
FR5004,Fontinalis antipyretica,1.1,92,0.73,NA,7,60,"silt, sand and gravel"
FR5065,Myriophyllum spicatum,1.6,127,0.49,NA,5.6,120,"silt, sand and gravel"
FR5007,Lemna minor,1.1,92,0.73,NA,7,60,"silt, sand and gravel"
FR5008,Fontinalis antipyretica,1.1,92,0.73,NA,7,60,"silt, sand and gravel"
FR5008,Sparganium emersum,1.1,92,0.73,NA,7,60,"silt, sand and gravel"
FR5065,Potamogeton nodosus,1.6,127,0.49,NA,5.6,120,"silt, sand and gravel"
FR5065,Stuckenia pectinata,1.6,127,0.49,NA,5.6,120,"silt, sand and gravel"
FR5018,Fontinalis antipyretica,1.4,82,0.73,NA,4.9,70,"silt, sand and gravel"
FR5018,Myriophyllum spicatum,1.4,82,0.73,NA,4.9,70,"silt, sand and gravel"
FR5019,Octodiceras fontanum,1.4,82,0.73,NA,4.9,70,"silt, sand and gravel"
FR5005,Myriophyllum spicatum,1.1,92,0.73,NA,7,60,"silt, sand and gravel"
FR5005,Potamogeton crispus,1.1,92,0.73,NA,7,60,"silt, sand and gravel"
FR5005,Amblystegium riparium,1.1,92,0.73,NA,7,60,"silt, sand and gravel"
FR5006,Octodiceras fontanum,1.1,92,0.73,NA,7,60,"silt, sand and gravel"
FR5020,Ranunculus fluitans,1.4,82,0.73,NA,4.9,70,"silt, sand and gravel"
FR5021,Ranunculus fluitans,1.4,82,0.73,NA,4.9,70,"silt, sand and gravel"
FR5021,Myriophyllum spicatum,1.4,82,0.73,NA,4.9,70,"silt, sand and gravel"
FR5063,Myriophyllum spicatum,1.6,127,0.49,NA,5.6,120,"silt, sand and gravel"
FR5063,Potamogeton nodosus,1.6,127,0.49,NA,5.6,120,"silt, sand and gravel"
