Taxon,Parameter,Value,Abundance,Date,Location
Azolla filiculoides,pH,7.3,1,19/07/2012,NW_316052
Azolla filiculoides,pH,7.2,1,19/07/2012,NW_316052
Azolla filiculoides,pH,7.5,1,19/07/2012,NW_316052
Azolla filiculoides,pH,7.4,1,19/07/2012,NW_316052
Azolla filiculoides,TN,12.2,1,19/07/2012,NW_316052
Azolla filiculoides,pH,7.5,1,11/07/2012,NW_317251
Azolla filiculoides,pH,7,2,12/07/2007,NW_317548
Azolla filiculoides,pH,7.4,1,11/07/2012,NW_317251
Azolla filiculoides,pH,6.4,2,12/07/2007,NW_317536
Azolla filiculoides,TP,0.24,4,25/09/2008,ST_413760
Azolla filiculoides,pH,7.6,4,25/09/2008,ST_413760
Azolla filiculoides,TP,0.22,4,25/09/2008,ST_413760
Azolla filiculoides,TN,3.85,2,22/07/2012,NW_317238
Azolla filiculoides,pH,7.6,1,11/07/2012,NW_317251
Azolla filiculoides,pH,7.3,1,11/07/2012,NW_317251
Azolla filiculoides,pH,7.7,2,12/07/2014,ST_410439
Azolla filiculoides,pH,7.5,2,22/07/2012,NW_317238
Azolla filiculoides,pH,7.7,4,25/09/2008,ST_413760
Azolla filiculoides,TP,0.1,2,12/07/2014,ST_410439
Azolla filiculoides,TP,0.08,2,12/07/2014,ST_410439
Azolla filiculoides,pH,7.8,2,12/07/2014,ST_410439
Azolla filiculoides,TN,8.82,1,19/07/2012,NW_316052
Azolla filiculoides,TP,0.24,3,25/09/2008,ST_413745
Azolla filiculoides,pH,7.3,2,22/07/2012,NW_317238
Azolla filiculoides,pH,7.5,3,25/09/2008,ST_413745
Azolla filiculoides,pH,7.8,3,25/09/2008,ST_413745
Azolla filiculoides,TN,2.89,2,22/07/2012,NW_317238
Azolla filiculoides,TP,0.44,3,25/09/2008,ST_413745
Azolla filiculoides,HCO3,165,2,12/07/2014,ST_410439
Azolla filiculoides,pH,7.7,2,22/07/2012,NW_317238
Callitriche brutia,pH,7.4,1,26/08/2012,SN_OBF16700
Callitriche brutia,HCO3,41,3,27/08/2012,SN_OBF28803
Callitriche brutia,pH,7.5,1,26/08/2012,SN_OBF16700
Callitriche brutia,TN,7.84,4,15/08/2012,NW_606730
Callitriche brutia,TP,0.25,1,26/08/2012,SN_OBF16700
Callitriche brutia,TN,11.5,4,13/06/2011,NW_318048
Callitriche brutia,HCO3,48.8,2,10/09/2012,TH_TH_2499
Callitriche brutia,pH,7.3,1,27/07/2010,SN_OBF30501
Callitriche brutia,TP,0.2,1,27/07/2010,SN_OBF30501
Callitriche brutia,HCO3,58,3,13/08/2012,SN_OBF07300
Callitriche brutia,TN,8.7,4,15/08/2012,NW_606730
Callitriche brutia,TN,6.6,2,09/07/2012,NW_603508
Callitriche brutia,TN,11,3,13/08/2012,SN_OBF07300
Callitriche brutia,HCO3,51.9,2,10/09/2012,TH_TH_2499
Callitriche brutia,TN,6.4,2,09/07/2012,NW_603508
Callitriche brutia,HCO3,47.6,2,10/09/2012,TH_TH_2499
Callitriche brutia,TP,0.47,3,13/08/2012,SN_OBF07300
Callitriche brutia,TP,0.106,2,27/08/2013,TH_TH_2381
Callitriche brutia,HCO3,39,3,27/08/2012,SN_OBF28803
Callitriche brutia,pH,7.4,1,27/07/2010,SN_OBF30501
Callitriche brutia,HCO3,65,1,26/08/2012,SN_OBF16700
Callitriche brutia,TN,1.5,2,10/09/2012,TH_TH_2499
Callitriche brutia,HCO3,57,3,13/08/2012,SN_OBF07300
Callitriche brutia,TN,11,3,10/09/2012,SN_OBF22150
Callitriche brutia,HCO3,44.5,2,10/09/2012,TH_TH_2499
Callitriche brutia,pH,7.6,1,02/08/2010,NW_462469
Callitriche brutia,pH,7.5,2,16/09/2012,SN_OBF22713
Callitriche brutia,pH,7.2,2,13/09/2011,SN_OBF32601
Callitriche brutia,TP,0.092,1,27/07/2010,SN_OBF30501
Callitriche brutia,pH,7.66,4,23/08/2010,TH_TH_2466
Callitriche brutia,HCO3,40,3,17/09/2012,SN_OBF49500
Callitriche brutia,pH,8.3,3,17/09/2012,SN_OBF49500
Callitriche brutia,TN,2.1,2,10/09/2012,TH_TH_2499
Callitriche brutia,TN,1.1,1,01/09/2010,SN_OBF37500
Callitriche brutia,pH,7.73,4,23/08/2010,TH_TH_2466
Callitriche brutia,TN,3.5,4,05/09/2010,TH_TH_2384
Callitriche brutia,TN,8.42,1,31/08/2011,NW_311900
Callitriche brutia,pH,7.5,1,02/08/2010,NW_462469
Callitriche brutia,TN,4.81,3,24/06/2012,NW_613101
Callitriche brutia,pH,7.6,3,13/08/2012,SN_OBF07300
Callitriche brutia,TN,4.4,3,17/09/2012,SN_OBF49500
Callitriche brutia,TN,1.4,1,01/09/2010,SN_OBF37500
Callitriche brutia,TP,0.04,1,01/09/2010,SN_OBF37500
Callitriche brutia,pH,7.2,1,31/08/2011,NW_311900
Callitriche brutia,pH,6.5,2,19/09/2012,SN_OBF24805
Callitriche brutia,pH,7.6,1,31/08/2011,NW_311900
Callitriche brutia,TN,8.3,1,01/10/2012,SN_OBF15900
Callitriche brutia,pH,7.7,3,26/06/2011,NW_318085
Callitriche brutia,TP,0.57,4,23/08/2010,TH_TH_2466
Callitriche brutia,pH,8,4,23/08/2010,TH_TH_2466
Callitriche brutia,TN,16,3,10/09/2012,SN_OBF22150
Callitriche brutia,HCO3,41,3,17/09/2012,SN_OBF49500
Callitriche brutia,TN,3.9,3,17/09/2012,SN_OBF49500
Callitriche brutia,HCO3,77,2,09/08/2011,SN_OBF55000
Callitriche brutia,HCO3,67,3,10/09/2012,SN_OBF22150
Callitriche brutia,TP,0.23,5,22/08/2010,TH_TH_2463
Callitriche brutia,TP,0.68,3,13/08/2012,SN_OBF07300
Callitriche brutia,TP,0.35,3,23/08/2010,TH_TH_2465
Callitriche brutia,pH,7.3,2,21/09/2010,SN_OBF31301
Callitriche brutia,pH,7.3,2,16/09/2012,SN_OBF22713
Callitriche brutia,TP,0.13,4,27/08/2012,SN_OBF25700
Callitriche brutia,HCO3,85,3,10/09/2012,SN_OBF22150
Callitriche brutia,pH,6.8,1,01/09/2010,SN_OBF37500
Callitriche brutia,TP,0.26,4,13/06/2011,NW_318048
Callitriche brutia,HCO3,85,1,26/08/2012,SN_OBF17000
Callitriche brutia,pH,7.5,3,13/08/2012,SN_OBF07300
Callitriche brutia,TN,2.3,3,12/09/2012,NI_48692093
Callitriche brutia,HCO3,92,3,10/09/2012,SN_OBF22150
Callitriche brutia,TN,1.2,2,07/08/2012,NI_59522244
Callitriche brutia,HCO3,112,3,23/08/2010,TH_TH_2465
Callitriche brutia,HCO3,75,2,09/08/2011,SN_OBF55000
Callitriche brutia,pH,7.5,3,17/09/2012,SN_OBF49500
Callitriche brutia,TN,20,3,10/09/2012,SN_OBF22150
Callitriche brutia,HCO3,85,2,17/08/2011,SN_OBF23200
Callitriche brutia,TN,1.5,2,23/08/2010,TH_TH_2468
Callitriche brutia,TN,1.6,2,23/08/2010,TH_TH_2468
Callitriche brutia,TP,0.64,2,16/09/2012,SN_OBF22713
Callitriche brutia,TP,0.24,2,16/09/2012,SN_OBF22713
Callitriche brutia,HCO3,94.6,3,23/08/2010,TH_TH_2465
Callitriche brutia,TN,3.5,3,17/09/2012,SN_OBF49500
Callitriche brutia,HCO3,61,1,26/08/2012,SN_OBF16700
Callitriche brutia,pH,7.1,2,13/09/2011,SN_OBF32601
Callitriche brutia,TP,0.08,2,13/09/2011,SN_OBF32601
Callitriche brutia,TP,0.27,3,23/08/2010,TH_TH_2465
Callitriche brutia,pH,7.9,2,07/08/2012,NI_59522244
Callitriche brutia,pH,7.4,3,22/06/2012,NW_669003
Callitriche brutia,TP,0.05,2,21/09/2010,SN_OBF31301
Callitriche brutia,pH,7.4,2,21/09/2010,SN_OBF31301
Callitriche brutia,pH,7.55,4,23/08/2010,TH_TH_2466
Callitriche brutia,HCO3,38,3,17/09/2012,SN_OBF49500
Callitriche brutia,pH,7.9,3,24/06/2012,NW_613101
Callitriche brutia,TP,0.15,2,31/07/2011,SN_OBF28000
Callitriche brutia,pH,7.1,4,13/06/2011,NW_318048
Callitriche brutia,TN,6.1,1,27/07/2010,SN_OBF30501
Callitriche brutia,TP,0.07576,2,27/08/2013,TH_TH_2381
Callitriche brutia,TP,0.17,4,02/09/2012,SN_OBF42202
Callitriche brutia,HCO3,96,2,20/07/2011,SN_OBF02831
Callitriche brutia,TP,0.089,2,19/09/2012,SN_OBF24805
Callitriche brutia,TN,5.69,3,16/08/2012,NW_606601
Callitriche brutia,pH,6.7,2,19/09/2012,SN_OBF24805
Callitriche brutia,HCO3,85,5,28/08/2012,SN_OBF26351
Callitriche brutia,HCO3,105,3,23/08/2010,TH_TH_2465
Callitriche brutia,TP,0.01,1,31/08/2011,NW_311900
Callitriche brutia,TP,0.12,3,17/09/2012,SN_OBF49500
Callitriche brutia,TP,0.1119,2,27/08/2013,TH_TH_2381
Callitriche brutia,TP,0.3,3,23/08/2010,TH_TH_2465
Callitriche brutia,TN,9.2,2,27/09/2012,SN_OBF16043
Callitriche brutia,pH,7.7,2,07/08/2012,NI_59522244
Callitriche brutia,pH,7.2,1,02/08/2010,NW_462469
Callitriche brutia,TN,2.1,2,01/09/2010,SN_OBF37001
Callitriche brutia,TN,5.3,3,31/08/2010,SN_OBF36912
Callitriche brutia,TP,0.19,2,19/10/2011,SN_OBF43400
Callitriche brutia,TN,7.6,3,31/08/2010,SN_OBF36912
Callitriche brutia,TN,3.8,2,11/09/2011,NW_806572
Callitriche brutia,TP,0.3,5,22/08/2010,TH_TH_2463
Callitriche brutia,TN,4.4,2,21/09/2010,SN_OBF31301
Callitriche brutia,TN,8,2,09/07/2012,NW_603508
Callitriche brutia,pH,7.6,3,26/06/2011,NW_318085
Callitriche brutia,pH,7.2,2,21/09/2010,SN_OBF31301
Callitriche brutia,TP,0.048,2,10/09/2012,SN_OBF22200
Callitriche brutia,pH,7.6,2,19/10/2011,SN_OBF43400
Callitriche brutia,TP,0.28,2,19/10/2011,SN_OBF43400
Callitriche brutia,pH,7.8,3,16/08/2012,NW_606601
Callitriche brutia,pH,7.9,1,29/05/2011,NW_318279
Callitriche brutia,pH,7,1,04/10/2011,SN_OBF36600
Callitriche brutia,pH,7,4,02/09/2012,SN_OBF42202
Callitriche brutia,TN,6.6,2,27/09/2012,SN_OBF16043
Callitriche brutia,TN,3.8,2,21/09/2010,SN_OBF31301
Callitriche brutia,TP,0.11,4,15/08/2012,SN_OBF28750
Callitriche brutia,pH,7.8,3,22/06/2012,NW_669003
Callitriche brutia,HCO3,93,2,20/07/2011,SN_OBF02831
Callitriche brutia,TN,2.4,3,12/09/2012,NI_48692093
Callitriche brutia,HCO3,98,5,28/08/2012,SN_OBF26351
Callitriche brutia,TP,0.14,3,15/10/2011,SN_OBF44100
Callitriche brutia,HCO3,87,1,26/08/2012,SN_OBF17000
Callitriche brutia,TP,0.132,2,27/08/2013,TH_TH_2381
Callitriche brutia,HCO3,61,2,27/09/2012,SN_OBF16043
Callitriche brutia,HCO3,23,2,31/08/2010,SN_OBF37000
Callitriche brutia,TP,0.2158,3,10/09/2012,TH_TH_2489
Callitriche brutia,HCO3,13,1,01/09/2010,SN_OBF37500
Callitriche brutia,pH,7.7,2,19/10/2011,SN_OBF43400
Callitriche brutia,HCO3,92,1,26/08/2012,SN_OBF17000
Callitriche brutia,TP,0.05,2,13/09/2011,SN_OBF32601
Callitriche brutia,pH,7.5,3,07/08/2011,SN_OBF49994
Callitriche brutia,HCO3,67,1,26/08/2012,SN_OBF16700
Callitriche brutia,TN,10,2,17/08/2011,SN_OBF23200
Callitriche brutia,pH,7.36,3,12/09/2012,NI_48692093
Callitriche brutia,HCO3,12,1,01/09/2010,SN_OBF37500
Callitriche brutia,TN,1.4,3,10/09/2012,ST_415382
Callitriche brutia,pH,8,4,15/08/2012,NW_606730
Callitriche brutia,TN,2.2,4,12/09/2012,NI_48362328
Callitriche brutia,TN,11,2,17/08/2011,SN_OBF23200
Callitriche brutia,pH,7.5,3,12/09/2012,NI_48692093
Callitriche brutia,HCO3,11,1,01/09/2010,SN_OBF37500
Callitriche brutia,TN,1.6,3,07/08/2012,SN_OBF30950
Callitriche brutia,pH,7.5,3,15/10/2011,SN_OBF44100
Callitriche brutia,TP,0.1,3,17/09/2012,SN_OBF49500
Callitriche brutia,TP,0.075,2,27/08/2013,TH_TH_2381
Callitriche brutia,pH,7.2,4,02/09/2012,SN_OBF42202
Callitriche brutia,TP,0.048,2,19/09/2012,SN_OBF24805
Callitriche brutia,TN,5.13,3,16/08/2012,NW_606601
Callitriche brutia,TP,0.17,2,31/07/2011,SN_OBF28000
Callitriche brutia,TP,0.059,3,07/08/2011,SN_OBF49994
Callitriche brutia,pH,7.1,1,04/10/2011,SN_OBF36600
Callitriche brutia,TN,7.9,2,26/09/2012,SN_OBF44902
Callitriche brutia,HCO3,44,2,27/09/2012,SN_OBF16043
Callitriche brutia,TN,3.7,4,05/09/2010,TH_TH_2384
Callitriche brutia,pH,7.3,2,31/08/2010,SN_OBF37000
Callitriche brutia,TP,0.1,1,02/08/2010,NW_462469
Callitriche brutia,TP,0.254,3,10/09/2012,TH_TH_2489
Callitriche brutia,pH,7.11,3,10/09/2012,TH_TH_2489
Callitriche brutia,pH,8.1,3,16/08/2012,NW_606601
Callitriche brutia,TP,0.8,1,29/05/2011,NW_318279
Callitriche brutia,HCO3,63,2,26/09/2012,SN_OBF44902
Callitriche brutia,TP,0.121,2,27/08/2013,TH_TH_2381
Callitriche brutia,TP,0.09,3,26/06/2011,NW_318085
Callitriche brutia,TP,0.1031,1,27/08/2013,TH_TH_2094
Callitriche brutia,TP,0.0971,3,10/09/2012,TH_TH_2489
Callitriche brutia,pH,8.01,3,23/08/2010,TH_TH_2465
Callitriche brutia,HCO3,67,2,16/08/2011,SN_OBF22711
Callitriche brutia,TN,11,3,27/08/2012,SN_OBF28803
Callitriche brutia,TN,1.3,1,03/08/2011,SN_OBF46900
Callitriche brutia,TP,0.108,2,27/08/2013,TH_TH_2381
Callitriche brutia,TP,0.08,3,12/09/2012,NI_48692093
Callitriche brutia,HCO3,60,3,07/08/2012,SN_OBF30950
Callitriche brutia,HCO3,56,3,07/08/2012,SN_OBF30950
Callitriche brutia,TN,2.4,2,11/09/2011,NW_806572
Callitriche brutia,TN,3.8,4,12/09/2012,NI_48362328
Callitriche brutia,pH,7.5,3,26/06/2011,NW_318085
Callitriche brutia,pH,7.91,3,23/08/2010,TH_TH_2465
Callitriche brutia,HCO3,55,3,26/07/2010,SN_OBF30620
